concept_id,canonical_label,category,period_scope,linked_people_count,linked_sources_count,status,entry_file,last_updated,notes
CONCEPT-013,Dom-Donna-Infanta overlay,system/style,"- **Portuguese arrival (1558)**: Portuguese forces under Captain Andiri Andirin established control over the Maldives, imposing Christianity and Portuguese naming conventions on converted royals.",8,6,in_progress,docs/research-program/concepts/CONCEPT-013.md,2026-02-09,Batch F expansion: Iberian honorific overlay controls for identity matching.
CONCEPT-014,Regnal epithet token bank,lexicon/system,"- **Pre-Islamic/early Buddhist layer**: Tokens like *Bavana* (dwelling/prosperity), *Loka* (world), *Suvara* (gold), *Abarana* (ornament), *Aadheeththa* (sun) derive from Indic languages and reflect the Buddhist-era naming system that persisted after Islamization.",12,6,in_progress,docs/research-program/concepts/CONCEPT-014.md,2026-02-09,Batch F expansion: unresolved epithet components tracked for lexical hardening and UI explainability.
CONCEPT-015,Regency and guardianship,political concept,"- **Lunar dynasty**: No clear regency cases attested, though the rapid succession of short-reigning sultans in the 13th century may imply informal guardianship arrangements.",8,5,in_progress,docs/research-program/concepts/CONCEPT-015.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-016,Islamic legal succession framework,system,"- **Post-conversion (1153+)**: Adoption of Islamic law introduced Sharia inheritance principles, but political succession did not follow strict fara'id rules. The throne passed through various mechanisms: primogeniture, lateral succession to brothers, seizure, and even matrilineal claims.",9,4,in_progress,docs/research-program/concepts/CONCEPT-016.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-017,Marriage alliance patterns,system,"- **Solar-Lunar transition**: The earliest attested inter-dynastic marriage: Queen Srimati Damahara (last Solar dynasty ruler) married Prince Sri Baladitya, who founded the Lunar dynasty. Marriage thus bridged the first major dynastic transition.",13,6,in_progress,docs/research-program/concepts/CONCEPT-017.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-018,Atoll governance (Atholhu Veriyaa),institution,"- **Sultanate era (1153-1968)**: Each atoll operated with a degree of autonomy under appointed atoll chiefs who managed tax collection, resource allocation, dispute resolution, and communication with Male. These chiefs reported to the central authority but exercised substantial local power.",5,4,in_progress,docs/research-program/concepts/CONCEPT-018.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-019,Friday Mosque / Hukuru Miskiiy,institution,"- **1153 CE**: First mosque built by the first Muslim sultan, Mohamed bin Abdullah (Sultan Dhovemi `P2` after conversion), marking the Islamization of the Maldives and establishing the Friday Mosque as the institutional center of Islamic governance.",5,4,in_progress,docs/research-program/concepts/CONCEPT-019.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-020,Military and naval institutions,institution,"- **Pre-Portuguese**: The Dhoshimeynaa (OFF-DHOSHIMEYNAA) is attested as a military-linked office in the Furadaana from at least the Pyrard account (c. 1602-1607), described as army-general/chief defense portfolio. Maritime defense was essential for an archipelagic state dependent on sea routes.",7,5,in_progress,docs/research-program/concepts/CONCEPT-020.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-021,Exile and provincial power,political concept,"- **Sultanate-era practice**: Exile to outer atolls was a standard political tool used by victorious factions to neutralize rivals without execution. The remoteness of the southern atolls (Fuvahmulah, Addu) made them effective exile destinations.",8,5,in_progress,docs/research-program/concepts/CONCEPT-021.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-022,The Rehendhi / Rani institution,title/system,"- **Pre-Islamic**: Evidence from Arabic and Persian sources suggests that women served as rulers of the Maldives in the pre-Islamic period, possibly connected to Indian Ocean matrilineal traditions.",8,5,in_progress,docs/research-program/concepts/CONCEPT-022.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-023,Pre-Islamic / Buddhist-era continuities,system,"- **Buddhist period (c. 3rd century BCE - 1153 CE)**: Buddhism spread to the Maldives in the 3rd century BCE during the time of Ashoka. Buddhist monasteries, stupas, and inscriptions have been found across the archipelago (notably by Thor Heyerdahl and other archaeologists). The Buddhist period lasted approximately 1,400 years.",4,5,in_progress,docs/research-program/concepts/CONCEPT-023.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-024,Maldivian numismatic evidence,evidence,"- **Pre-monetary and cowrie era (pre-13th century through 17th century)**: Cowrie shells (*Cypraea moneta*) were the primary currency of the Maldives and a major export commodity. Ibn Battuta (c. 1344) recorded that over 40 ships per year were loaded with cowrie shells for export. A single gold dinar was worth 400,000 shells.",5,3,in_progress,docs/research-program/concepts/CONCEPT-024.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-025,Bodu Vizier / Grand Vizier institution,office/institution,"- **Early attestation**: The vizier concept entered Maldivian governance with Islamization (post-1153), drawing on the broader Islamic tradition of the *wazir* as chief adviser to the ruler.",8,5,in_progress,docs/research-program/concepts/CONCEPT-025.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-026,Kateeb (chancery/scribal) office,office/institution,"- **Pre-Thaana period**: Record-keeping in earlier scripts (Dhivehi Akuru, Eveyla Akuru) was maintained by literate officials. The scribal function predates the Thaana script.",3,4,in_progress,docs/research-program/concepts/CONCEPT-026.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-027,Shahbandar (port master),office/institution,"- **Origin**: The *shahbandar* is a Persian-origin administrative title found across the Indian Ocean world, from the Persian Gulf to Southeast Asia (Malay sultanates). In the Maldives, it was adopted as part of the Islamic administrative vocabulary after 1153.",3,4,in_progress,docs/research-program/concepts/CONCEPT-027.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-028,Arabic laqab / honorific system,title/system,"- **Early adoption (post-1153)**: Arabic-Islamic names were adopted immediately upon conversion. Sultan Muhammad al-Adil (`P2`) is the first attested Islamic name. However, early Lunar dynasty sultans primarily used Indic-origin regnal names (CONCEPT-014) with Arabic personal names.",22,5,in_progress,docs/research-program/concepts/CONCEPT-028.md,2026-02-09,Row reconciled with concept dossier set.
CONCEPT-029,Conversion and religious legitimacy,system,"- **Pre-conversion**: Buddhism was the state religion for approximately 1,400 years (c. 3rd century BCE - 1153 CE). Arabic and Persian traders had been present in the Indian Ocean since at least the 9th century, introducing Islamic ideas through commerce.",8,6,in_progress,docs/research-program/concepts/CONCEPT-029.md,2026-02-09,Row reconciled with concept dossier set.
