claim_id,edge_key,relation_type,source_id,target_id,label,confidence,claim_type,confidence_grade,evidence_refs,primary_source_id,claim_excerpt,citation_locator,access_date,review_status,canonical_decision,reviewer,last_reviewed,notes
CLM-0011,kin|P105|P106|aunt/uncle↔niece/nephew,kin,P105,P106,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P105 Hassan Thakurufan and P106 Ibrahim Kalaafaan from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p105-p106-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p105-p106-aunt-uncle-niece-nephew.md.
CLM-0012,kin|P107|P31|grandparent,kin,P107,P31,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P107 Golaavahi Kambulo and P31 Ibrahim (Dhammaru Veeru) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p107-p31-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p107-p31-grandparent.md.
CLM-0013,kin|P107|P39|grandparent,kin,P107,P39,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P107 Golaavahi Kambulo and P39 Yoosuf (Loka Aananadha) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p107-p39-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p107-p39-grandparent.md.
CLM-0014,kin|P107|P40|grandparent,kin,P107,P40,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P107 Golaavahi Kambulo and P40 Aboobakuru (Bavana Sooja) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p107-p40-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p107-p40-grandparent.md.
CLM-0015,kin|P108|P31|grandparent,kin,P108,P31,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P108 Kulhiveri Hilaal Kaiulhanna Kaloge and P31 Ibrahim (Dhammaru Veeru) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p108-p31-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p108-p31-grandparent.md.
CLM-0016,kin|P108|P38|aunt/uncle↔niece/nephew,kin,P108,P38,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P108 Kulhiveri Hilaal Kaiulhanna Kaloge and P38 Danna Mohamed (Raadha Bavana) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p108-p38-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p108-p38-aunt-uncle-niece-nephew.md.
CLM-0017,kin|P108|P39|grandparent,kin,P108,P39,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P108 and P39 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0018,kin|P108|P40|grandparent,kin,P108,P40,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P108 and P40 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0019,kin|P109|P30|grandparent,kin,P109,P30,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P109 and P30 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0020,kin|P110|P115|reported kin relation in elite Didi line,kin,P110,P115,reported kin relation in elite Didi line,i,inferred,B,SRC-WIKI-IBRAHIM-NASIR,SRC-WIKI-IBRAHIM-NASIR,Ibrahim Nasir dynastic context links P110 Mohamed Amin Didi and P115 Ibrahim Nasir in kin relation (reported kin relation in elite Didi line).,"SRC-WIKI-IBRAHIM-NASIR raw page (https://en.wikipedia.org/w/index.php?title=Ibrahim_Nasir&action=raw), infobox/biographical family fields linking P110 Mohamed Amin Didi and P115 Ibrahim Nasir (kin (reported kin relation in elite Didi line)) in 2026-02-08 snapshot.",2026-02-08,in_progress,pending,phase1-locator-d,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete.
CLM-0021,kin|P111|P115|reported extended Didi lineage,kin,P111,P115,reported extended Didi lineage,i,inferred,B,SRC-WIKI-IBRAHIM-NASIR,SRC-WIKI-IBRAHIM-NASIR,Ibrahim Nasir dynastic context links P111 Prince Abdul Majeed Didi and P115 Ibrahim Nasir in kin relation (reported extended Didi lineage).,"SRC-WIKI-IBRAHIM-NASIR raw page (https://en.wikipedia.org/w/index.php?title=Ibrahim_Nasir&action=raw), infobox/biographical family fields linking P111 Prince Abdul Majeed Didi and P115 Ibrahim Nasir (kin (reported extended Didi lineage)) in 2026-02-08 snapshot.",2026-02-08,in_progress,pending,phase1-locator-d,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete.
CLM-0022,kin|P112|P114|grandparent,kin,P112,P114,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P112 and P114 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0023,kin|P114|P136|grandparent,kin,P114,P136,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P114 and P136 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0024,kin|P115|P137|grandparent,kin,P115,P137,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P115 and P137 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0025,kin|P116|P124|grandparent,kin,P116,P124,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P116 and P124 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0026,kin|P116|P143|grandparent,kin,P116,P143,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P116 and P143 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0027,kin|P116|P144|grandparent,kin,P116,P144,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P116 and P144 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0028,kin|P116|P145|grandparent,kin,P116,P145,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P116 and P145 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0029,kin|P116|P146|grandparent,kin,P116,P146,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P116 and P146 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0030,kin|P116|P147|grandparent,kin,P116,P147,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Derived grandparent relation between P116 and P147 follows an explicit two-step parent chain encoded in edge inference metadata.,Inference basis: parent-of-parent-grandparent rule from edge metadata,2026-02-08,in_progress,pending,phase1-batch-d,2026-02-08,Derived inference dossier drafted in batch D.
CLM-0031,kin|P117|P124|grandparent,kin,P117,P124,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P117 Nayaage Aishath Didi and P124 Ali Nasir from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p117-p124-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p117-p124-grandparent.md.
CLM-0032,kin|P117|P138|grandparent,kin,P117,P138,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P117 Nayaage Aishath Didi and P138 Dhadimagu Ganduvaru Maryam Didi from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p117-p138-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p117-p138-grandparent.md.
CLM-0033,kin|P117|P143|grandparent,kin,P117,P143,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P117 Nayaage Aishath Didi and P143 Ahmed Nasir from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p117-p143-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p117-p143-grandparent.md.
CLM-0034,kin|P117|P144|grandparent,kin,P117,P144,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P117 Nayaage Aishath Didi and P144 Mohamed Nasir from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p117-p144-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p117-p144-grandparent.md.
CLM-0035,kin|P117|P145|grandparent,kin,P117,P145,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P117 Nayaage Aishath Didi and P145 Ibrahim Nasir (son of President Ibrahim Nasir) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p117-p145-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p117-p145-grandparent.md.
CLM-0036,kin|P117|P146|grandparent,kin,P117,P146,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P117 Nayaage Aishath Didi and P146 Ismail Nasir from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p117-p146-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p117-p146-grandparent.md.
CLM-0037,kin|P117|P147|grandparent,kin,P117,P147,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P117 Nayaage Aishath Didi and P147 Aishath Nasir from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p117-p147-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p117-p147-grandparent.md.
CLM-0038,kin|P119|P135|grandparent,kin,P119,P135,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P119 Maumoon Abdul Gayoom and P135 Galolhu Sitti from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p119-p135-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p119-p135-grandparent.md.
CLM-0039,kin|P120|P134|grandparent,kin,P120,P134,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P120 Abdul Gayoom Ibrahim and P134 Galolhu Seedhi from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p120-p134-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p120-p134-grandparent.md.
CLM-0040,kin|P120|P150|grandparent,kin,P120,P150,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P120 Abdul Gayoom Ibrahim and P150 Dunya Maumoon from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p120-p150-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p120-p150-grandparent.md.
CLM-0041,kin|P120|P151|grandparent,kin,P120,P151,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P120 Abdul Gayoom Ibrahim and P151 Yumna Maumoon from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p120-p151-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p120-p151-grandparent.md.
CLM-0042,kin|P120|P152|grandparent,kin,P120,P152,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P120 Abdul Gayoom Ibrahim and P152 Faris Maumoon from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p120-p152-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p120-p152-grandparent.md.
CLM-0043,kin|P120|P153|grandparent,kin,P120,P153,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P120 Abdul Gayoom Ibrahim and P153 Ghassan Maumoon from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p120-p153-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p120-p153-grandparent.md.
CLM-0044,kin|P121|P135|grandparent,kin,P121,P135,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P121 Abdulla Yameen Abdul Gayoom and P135 Galolhu Sitti from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p121-p135-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p121-p135-grandparent.md.
CLM-0045,kin|P121|P150|aunt/uncle↔niece/nephew,kin,P121,P150,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P121 Abdulla Yameen Abdul Gayoom and P150 Dunya Maumoon from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p121-p150-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p121-p150-aunt-uncle-niece-nephew.md.
CLM-0046,kin|P121|P151|aunt/uncle↔niece/nephew,kin,P121,P151,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P121 Abdulla Yameen Abdul Gayoom and P151 Yumna Maumoon from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p121-p151-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p121-p151-aunt-uncle-niece-nephew.md.
CLM-0047,kin|P121|P152|aunt/uncle↔niece/nephew,kin,P121,P152,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P121 Abdulla Yameen Abdul Gayoom and P152 Faris Maumoon from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p121-p152-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p121-p152-aunt-uncle-niece-nephew.md.
CLM-0048,kin|P121|P153|aunt/uncle↔niece/nephew,kin,P121,P153,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P121 Abdulla Yameen Abdul Gayoom and P153 Ghassan Maumoon from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p121-p153-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p121-p153-aunt-uncle-niece-nephew.md.
CLM-0049,kin|P122|P168|reported first-cousin relation,kin,P122,P168,reported first-cousin relation,i,inferred,B,SRC-WIKI-SOLIH|SRC-WIKI-NASHEED,SRC-WIKI-SOLIH,Wikipedia lead text identifies Ibrahim Mohamed Solih as first cousin of former President Mohamed Nasheed. (pair: P122 Mohamed Nasheed -> P168 Fazna Ahmed).,"SRC-WIKI-SOLIH page (en.wikipedia.org/wiki/Ibrahim_Mohamed_Solih), line 34 in 2026-02-08 extraction snapshot.",2026-02-08,in_progress,pending,phase1-locator-a,2026-02-08,Locator extraction completed from lead relationship statement.
CLM-0050,kin|P125|P127|grandparent,kin,P125,P127,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P125 Meera Laila Nasheed and P127 Abdul Sattar Umar from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p125-p127-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p125-p127-grandparent.md.
