extract_id,source_id,date,extract_status,target_scope,claim_or_context_note,locator,researcher,notes
EXT-017,SRC-PO-NASIR,2026-02-08,in_progress,Official parentage statement extraction,Extracted parentage phrasing for Ibrahim Nasir profile and mapped to parent claims.,presidency FormerPresident/6 lines 48-50 snapshot,phase1-locator-a,Supports CLM-0244 and CLM-0245.
EXT-018,SRC-PO-YAMEEN,2026-02-08,in_progress,Official parent/sibling statement extraction,Extracted father and sibling wording for Yameen profile.,presidency FormerPresident/1 lines 43-45 snapshot,phase1-locator-a,Supports CLM-0253 and CLM-0375.
EXT-019,SRC-ATOLL-NASHEED-PARENTS,2026-02-08,in_progress,Named parent statement extraction,Extracted explicit naming of Nasheed father and mother from report text.,atolltimes article lines 27-28 snapshot,phase1-locator-a,Supports CLM-0258 and CLM-0259.
EXT-020,SRC-EDITION-SOLIH-MOTHER,2026-02-08,in_progress,Maternal identity statement extraction,Extracted obituary phrasing identifying former President Solih’s mother.,edition report line 31 snapshot,phase1-locator-a,Supports CLM-0307.
EXT-021,SRC-WIKI-WAHEED,2026-02-08,in_progress,Personal-life family listing extraction,Extracted spouse and children listing for Waheed family claims.,"Wikipedia lines 48,56-57 snapshot",phase1-locator-a,Supports CLM-0297 through CLM-0302.
EXT-022,SRC-WIKI-SOLIH,2026-02-08,in_progress,Raw infobox plus lead family extraction,Expanded extraction to include spouse and issue template fields (Sarah/Yaman) with cousin statement.,"Wikipedia raw lines 35,37 plus lead line 34 snapshot",phase1-locator-b,"Supports CLM-0049, CLM-0303..0306, CLM-0460."
EXT-023,SRC-WIKI-MUIZZU,2026-02-08,in_progress,Raw infobox parent/spouse/issue extraction,Expanded extraction to include issue names and spouse linkage for parent claims.,Wikipedia raw lines 35 and 38 plus parent lines 40-41 snapshot,phase1-locator-b,Supports CLM-0308..0315 and CLM-0461.
EXT-024,SRC-WIKI-NASHEED,2026-02-08,in_progress,Raw infobox spouse/issue extraction,Expanded extraction to include child names Meera and Zaya in issue field.,Wikipedia raw lines 32 and 35 snapshot,phase1-locator-b,Supports CLM-0254..0257 and CLM-0457.
EXT-025,SRC-WIKI-MAUMOON,2026-02-08,in_progress,Raw infobox parent/spouse/issue extraction,"Expanded extraction to include father, mother, spouse, and issue fields for family mapping.","Wikipedia raw lines 33,35,37,38 snapshot",phase1-locator-b,"Supports CLM-0248..0252, CLM-0280..0284, CLM-0456."
EXT-026,SRC-WIKI-IBRAHIM-NASIR,2026-02-08,in_progress,Raw infobox spouse and issue extraction,Extracted spouse and issue template structure for Ibrahim Nasir page to map parent/spouse claims.,Wikipedia raw lines 76 and 78 snapshot,phase1-locator-b,"Supports CLM-0238..0243, CLM-0246..0247, CLM-0276..0279, CLM-0453..0455."
EXT-027,SRC-MRF-HILAALY,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 9 relationship claims.,https://r.jina.ai/http://maldivesroyalfamily.com/maldives_hilaaly.shtml,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-028,SRC-MRF-HURAA,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 4 relationship claims.,https://r.jina.ai/http://maldivesroyalfamily.com/maldives_royal_huraagey.shtml,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-029,SRC-MRF-KINGS,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 80 relationship claims.,https://r.jina.ai/http://maldivesroyalfamily.com/maldives_kings_list.full.shtml,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-030,SRC-MRF-MIDU-ROYAL,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 7 relationship claims.,https://r.jina.ai/http://maldivesroyalfamily.com/maldives_midu.shtml,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-031,SRC-MRF-UTHEEM,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 6 relationship claims.,https://r.jina.ai/http://maldivesroyalfamily.com/maldives_utheem.shtml,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-032,SRC-PO-WAHEED,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 1 relationship claims.,https://presidency.gov.mv/PO/FormerPresident/3,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-033,SRC-WIKI-ABBAS-IBRAHIM,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 2 relationship claims.,https://en.wikipedia.org/w/index.php?title=Abbas_Ibrahim&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-034,SRC-WIKI-ABDUL-GAYOOM-IBRAHIM,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 4 relationship claims.,https://en.wikipedia.org/w/index.php?title=Abdul_Gayoom_Ibrahim&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-035,SRC-WIKI-ABDUL-MAJEED,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 1 relationship claims.,https://en.wikipedia.org/w/index.php?title=Abdul_Majeed_Didi&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-036,SRC-WIKI-AMIN-DIDI,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 3 relationship claims.,https://en.wikipedia.org/w/index.php?title=Mohamed_Amin_Didi&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-037,SRC-WIKI-FATHIMATH-SAUDHA,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 1 relationship claims.,https://en.wikipedia.org/w/index.php?title=Fathimath_Saudha&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-038,SRC-WIKI-HASSAN-FARID,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 2 relationship claims.,https://en.wikipedia.org/w/index.php?title=Hassan_Farid_Didi&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-039,SRC-WIKI-IBRAHIM-FAREED,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 2 relationship claims.,https://en.wikipedia.org/w/index.php?title=Ibrahim_Fareed_Didi&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-040,SRC-WIKI-IBRAHIM-NASIR,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 7 relationship claims.,https://en.wikipedia.org/w/index.php?title=Ibrahim_Nasir&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-041,SRC-WIKI-ILYAS-IBRAHIM,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 1 relationship claims.,https://en.wikipedia.org/w/index.php?title=Ilyas_Ibrahim&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-042,SRC-WIKI-MONARCHS,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 16 relationship claims.,https://en.wikipedia.org/wiki/List_of_Maldivian_monarchs,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-043,SRC-WIKI-MUHAMMAD-FAREED,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 2 relationship claims.,https://en.wikipedia.org/w/index.php?title=Muhammad_Fareed_Didi&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-044,SRC-WIKI-PRINCE-IBRAHIM-FAAMULADHEYRI,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 3 relationship claims.,"https://en.wikipedia.org/w/index.php?title=Prince_Ibrahim,_Faamuladheyri_Kilegefaanu&action=raw",phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-045,SRC-WIKI-SHAMSUDDEEN-III,2026-02-08,in_progress,Phase 1 locator completion (residual claims),Batch D replaced locator placeholders with node-pair locators for 1 relationship claims.,https://en.wikipedia.org/w/index.php?title=Muhammad_Shamsuddeen_III&action=raw,phase1-locator-d,Locator anchors are complete at section-level; direct quotations can be captured in Phase 2 deep-source extraction.
EXT-046,(locator-url-normalization),2026-02-08,in_progress,Locator URL normalization for direct claims,Batch E added explicit URL anchors to 65 direct-claim locators that previously lacked source URLs.,relationship-evidence-ledger.csv direct rows by primary_source_id,phase1-locator-e,SRC-MRF-KINGS:31; SRC-WIKI-IBRAHIM-NASIR:9; SRC-WIKI-MAUMOON:9; SRC-WIKI-MUIZZU:5; SRC-WIKI-NASHEED:3; SRC-MRF-HILAALY:2; SRC-WIKI-MONARCHS:2; SRC-ATOLL-NASHEED-PARENTS:2; SRC-WIKI-SOLIH:1; SRC-EDITION-SOLIH-MOTHER:1
EXT-047,SRC-PO-MAUMOON,2026-02-08,in_progress,Official chronology and identity anchor extraction,Extracted line-level office chronology anchor and profile identity context for Maumoon Abdul Gayoom dossier hardening.,presidency FormerPresident/5 lines 39-40 snapshot,phase1-batch-f,Feeds P119 node-fact corroboration with official source wording while deeper biography lines remain pending.
EXT-048,SRC-PO-NASHEED,2026-02-08,in_progress,Official chronology and identity anchor extraction,Extracted line-level birth and education anchors for Mohamed Nasheed dossier hardening.,presidency FormerPresident/4 lines 47-50 snapshot,phase1-batch-f,Feeds P122 node-fact corroboration with official source wording.
EXT-049,SRC-PO-SOLIH,2026-02-08,in_progress,Official chronology and identity anchor extraction,Extracted line-level birth and profile identity anchors for Ibrahim Mohamed Solih dossier hardening.,presidency FormerPresident/12 lines 48-51 snapshot,phase1-batch-f,Feeds P167 node-fact corroboration with official source wording.
EXT-050,SRC-PO-MUIZZU,2026-02-08,in_progress,Official chronology and identity anchor extraction,Extracted line-level birth and profile identity anchors for Mohamed Muizzu dossier hardening.,presidency PO/President lines 49-53 snapshot,phase1-batch-f,Feeds P172 node-fact corroboration with official source wording.
EXT-051,SRC-SSRN-SUOOD-LEGAL,2026-02-08,in_progress,Title/office semantics extraction,Started structured extraction of office-term definitions and institutional hierarchy notes for title register hardening.,SSRN legal foundations paper section-level extraction log,phase1-batch-f,"Priority terms: Naib, Fandiyaaru, Furadaana, Bandeyri-family offices."
EXT-052,SRC-MRF-TITLES,2026-02-08,in_progress,Title glossary extraction,Started extraction of term-by-term title glosses and usage examples for concept/register crosswalk mapping.,maldivesroyalfamily.com title glossary snapshot,phase1-batch-f,Use as specialist-support layer alongside legal-historical sources.
EXT-053,SRC-WIKI-HEADS-STATE,2026-02-08,in_progress,Cross-era style normalization extraction,Started extraction of cross-era regnal/style renderings to align known_as variants and sobriquet normalization.,wikipedia heads-of-state chronology snapshot,phase1-batch-f,Use only as corroborative chronology/style layer; no sole genealogical promotion.
EXT-054,SRC-MRF-KINGS,2026-02-08,in_progress,Bridge-corridor quote hardening (CLM-0209/0215),Captured quote-level entry-95 wording around Don Goma daughter-of-86/88 relation for contested ancestor labels.,maldives_kings_list.full entry 95 narrative snapshot,phase5-conflict-c,Feeds ambiguity adjudication for CLM-0209 and CLM-0215.
EXT-055,SRC-MRF-PHOTO-6,2026-02-08,in_progress,Bridge-corridor quote hardening (CLM-0364),Captured quote-level wording that Princess Don Goma is daughter of King Ibrahim Nooreddine.,maldives_photo_6.shtml narrative snippet snapshot,phase5-conflict-c,Adds direct same-publisher corroboration for P87->P129 wording.
EXT-056,SRC-MRF-KAKAAGE-ALBUM,2026-02-08,in_progress,Bridge-corridor quote hardening (CLM-0364),Captured parallel quote-level wording for Don Goma daughter-of-Ibrahim-Nooreddine statement.,family_album_kakaage.shtml narrative snippet snapshot,phase5-conflict-c,Used with EXT-055 for source-family consistency check; independent non-MRF corroboration still required.
EXT-057,SRC-BELL-1940,2026-02-10,in_progress,Foundational monograph extraction activation,Activated Bell 1940 extraction lane with consolidated findings on dynastic-sequence corroboration and inscription-linked ruler anchors for early chronology hardening.,docs/research-program/findings/european-colonial-findings.md sections 1.1-1.6,phase1-batch-h,Primary objective is to convert Bell-derived claims into direct edge corroboration packets once full text access is secured; use current findings to prioritize target tuples and office semantics.
EXT-058,SRC-IBN-BATTUTA-RIHLA,2026-02-10,in_progress,Lunar 1340s genealogical and court-structure claim packet extraction,Consolidated Maldives chapter claims into node-pair targets including P18->P19 P18->P20 P20<->P21 P20<->P23 plus office semantics for qadi/fandiyaaru and wazir power structure.,docs/research-program/findings/arabic-islamic-findings.md sections 1.1-1.6 and claim table G1-G13,phase1-batch-h,Extraction packet prepared for relationship-ledger corroboration pass and concept-lane hardening; contested Bengali-founder claim remains flagged C-grade.
EXT-059,SRC-HAKLUYT-IBN-BATTUTA-V4,2026-02-10,in_progress,Chapter XVII corroboration lane for Lunar corridor,Activated chapter-specific corroboration lane for the Hakluyt Vol IV translation to support exact-pair wording checks and independent validation against Tarikh-derived narratives.,docs/research-program/findings/arabic-islamic-findings.md source entry 5.1 and sections 1.1-1.6,phase1-batch-h,Use as the chapter-locatable primary text for pair-level verification and to reduce dependence on secondary summary-only formulations.
EXT-060,SRC-DESILVA-PORT-ENCOUNTERS,2026-02-10,in_progress,Portuguese-period bridge extraction activation,Activated translated-primary extraction lane for P61-P67 Portuguese corridor with contradiction-focused targets covering dates parentage succession context and Huraagey bridge lineage evaluation.,docs/research-program/findings/european-colonial-findings.md sections 2.1-2.10,phase1-batch-h,Directly feeds contradiction-log adjudication items CLOG-2026-02-09-D1 through D5 and prioritizes independent corroboration for high-impact bridge semantics.
EXT-061,SRC-ROYALARK-M16,2026-02-10,in_progress,Portuguese corridor quote-level pair extraction,Captured lineage-wording packet for P61/P66/P67/P209/P210/P211/P212/P213 pair claims and sibling-set phrasing.,royalark maldive16 lineage blocks (Dom Manoel branch + Dom Joao branch),phase1-batch-i,Feeds CLM-0605..0609 and CLM-0628/0630/0631/0632 with quote-level pair wording and reviewer-ready locators.
EXT-062,SRC-DESILVA-PORT-ENCOUNTERS,2026-02-10,in_progress,Portuguese translated-primary corroboration pack,Mapped chapter-7 corroborative context for Dom Manoel / Dom Joao branch claims used in bridge contradiction review.,chapter 7 Portuguese and the Maldives context map,phase1-batch-i,Supports CLM-0605/0606/0609 corroboration context and contradiction entries CLOG-2026-02-09-D1..D5 follow-up.
EXT-063,SRC-IBN-BATTUTA-RIHLA,2026-02-10,in_progress,Lunar 1340s pair-level corroboration injection,Integrated Ibn Battuta parent/spouse wording for Omar-Khadijah-Ahmad and Khadijah marriage links into relationship ledger.,Rihla Maldives chapters claim map (P18/P19/P20/P21/P23),phase1-batch-i,Feeds CLM-0316 CLM-0317 CLM-0468 CLM-0469 evidence expansion with primary-source corroboration.
EXT-064,SRC-HAKLUYT-IBN-BATTUTA-V4,2026-02-10,in_progress,Chapter XVII corroboration locators for promoted Lunar edges,Added Hakluyt Vol. IV Chapter XVII corroborative locator framing for the same Khadijah-era parent/spouse edge set.,Hakluyt Vol IV Chapter XVII Maldives account locator map,phase1-batch-i,Parallel corroboration lane for CLM-0316 CLM-0317 CLM-0468 CLM-0469 to reduce single-source dependence.
EXT-065,SRC-ROYALARK-MALDIVES,2026-02-10,in_progress,Contradiction adjudication support extraction (D3 D4 D5),Mapped lineage statements used for P27 maternal attribution P41 paternal selection and P60/P61 half-brother classification in current model decisions.,RoyalArk Maldives genealogy sections for P25/P26/P27 P39/P40/P41 and P60/P61 pathways,phase5-batch-j,Feeds CLM-0595 CLM-0596 CLM-0599 and CLM-0640 adjudication notes with pair-specific contradiction context.
EXT-066,SRC-MRF-KINGS,2026-02-10,in_progress,Contradiction adjudication support extraction (alternate-claim lane),Mapped competing Kings-list lineage wording used as alternate-claim evidence in D4 and corroborative context in D5.,MRF kings list lineage blocks for P39/P40/P41 and P60/P61 associated parent chains,phase5-batch-j,Used to preserve contested alternatives transparently while keeping canonical and contested branches separated.
EXT-067,SRC-DIOGO-COUTO,2026-02-10,in_progress,D1/D2 chronology adjudication pack,Completed initial Archive corpus scout across Da Asia identifiers with Maldives-token filtering and named-figure screening.,docs/research-program/findings/phase5-batch-k-couto-corpus-scout.md (identifier and hit-map table),phase5-batch-k,Initial scout found multiple Maldives mentions but no direct Dom Manoel or Dom Philippe chronology statements; D1/D2 precision remains open pending deeper archival and chapter-level extraction.
EXT-068,(goa-cochin-archive-lane),2026-02-10,in_progress,Archival registry pathway mapping for D1/D2,Opened discovery lane for identifying Cochin baptismal and Goa death-event record-series metadata with reproducible citation strategy.,Goa/Cochin archival catalog pathway (record-series discovery log),phase5-batch-k,Targets archival-grade locators needed to close remaining chronology-precision contradictions for P61 and P67.
