edge_key,relation_type,source_id,target_id,label,inference_class,inference_rule,confidence_grade,evidence_refs,dossier_status,dossier_file,last_updated,notes
kin|P152|P198|aunt/uncle↔niece/nephew,kin,P152,P198,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p152-p198-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P152|P199|aunt/uncle↔niece/nephew,kin,P152,P199,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p152-p199-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P153|P198|aunt/uncle↔niece/nephew,kin,P153,P198,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p153-p198-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P153|P199|aunt/uncle↔niece/nephew,kin,P153,P199,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p153-p199-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P155|P85|grandparent,kin,P155,P85,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p155-p85-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P16|P19|aunt/uncle↔niece/nephew,kin,P16,P19,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p16-p19-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P16|P20|aunt/uncle↔niece/nephew,kin,P16,P20,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p16-p20-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P16|P25|aunt/uncle↔niece/nephew,kin,P16,P25,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p16-p25-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P169|P171|grandparent,kin,P169,P171,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p169-p171-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P170|P171|grandparent,kin,P170,P171,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p170-p171-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P180|P81|grandparent,kin,P180,P81,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p180-p81-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P190|P87|grandparent,kin,P190,P87,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p190-p87-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P190|P90|aunt/uncle↔niece/nephew,kin,P190,P90,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p190-p90-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P190|P91|aunt/uncle↔niece/nephew,kin,P190,P91,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p190-p91-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P191|P87|grandparent,kin,P191,P87,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p191-p87-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P191|P90|aunt/uncle↔niece/nephew,kin,P191,P90,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p191-p90-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P191|P91|aunt/uncle↔niece/nephew,kin,P191,P91,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p191-p91-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P193|P30|grandparent,kin,P193,P30,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p193-p30-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P193|P31|aunt/uncle↔niece/nephew,kin,P193,P31,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p193-p31-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P193|P39|aunt/uncle↔niece/nephew,kin,P193,P39,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p193-p39-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P193|P44|aunt/uncle↔niece/nephew,kin,P193,P44,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p193-p44-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P193|P46|cousins,kin,P193,P46,cousins,rule-derived,children-of-siblings-cousin,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p193-p46-cousins.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P194|P40|grandparent,kin,P194,P40,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p194-p40-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P194|P41|aunt/uncle↔niece/nephew,kin,P194,P41,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p194-p41-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P194|P44|cousins,kin,P194,P44,cousins,rule-derived,children-of-siblings-cousin,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p194-p44-cousins.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P196|P40|grandparent,kin,P196,P40,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p196-p40-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P196|P41|aunt/uncle↔niece/nephew,kin,P196,P41,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p196-p41-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P196|P44|cousins,kin,P196,P44,cousins,rule-derived,children-of-siblings-cousin,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p196-p44-cousins.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P31|P32|uncle→nephew,kin,P31,P32,uncle→nephew,curated,,C,SRC-MRF-HILAALY,in_progress,docs/research-program/inferences/kin-p31-p32-uncle-nephew.md,2026-02-08,"Phase 2 curated dossier hardening: pair-specific support chains, claim IDs, and verification criteria added."
kin|P39|P41|aunt/uncle↔niece/nephew,kin,P39,P41,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p39-p41-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P39|P50|grandparent,kin,P39,P50,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p39-p50-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P40|P44|grandparent,kin,P40,P44,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p40-p44-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P41|P46|cousins,kin,P41,P46,cousins,rule-derived,children-of-siblings-cousin,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p41-p46-cousins.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P41|P57|aunt/uncle↔niece/nephew,kin,P41,P57,aunt/uncle↔niece/nephew,rule-derived,parent-sibling-aunt-uncle,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p41-p57-aunt-uncle-niece-nephew.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P44|P57|cousins,kin,P44,P57,cousins,rule-derived,children-of-siblings-cousin,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p44-p57-cousins.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P55|P59|cousins,kin,P55,P59,cousins,rule-derived,children-of-siblings-cousin,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p55-p59-cousins.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P80|P99|grandparent,kin,P80,P99,grandparent,rule-derived,parent-of-parent-grandparent,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p80-p99-grandparent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P88|P90|cousins,kin,P88,P90,cousins,rule-derived,children-of-siblings-cousin,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p88-p90-cousins.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
kin|P88|P91|cousins,kin,P88,P91,cousins,rule-derived,children-of-siblings-cousin,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/kin-p88-p91-cousins.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
sibling|P129|P90|siblings (shared parent),sibling,P129,P90,siblings (shared parent),rule-derived,shared-parent-sibling,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/sibling-p129-p90-siblings-shared-parent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
sibling|P129|P91|siblings (shared parent),sibling,P129,P91,siblings (shared parent),rule-derived,shared-parent-sibling,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/sibling-p129-p91-siblings-shared-parent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
sibling|P155|P87|siblings (shared parent),sibling,P155,P87,siblings (shared parent),rule-derived,shared-parent-sibling,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/sibling-p155-p87-siblings-shared-parent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
sibling|P193|P41|siblings (shared parent),sibling,P193,P41,siblings (shared parent),rule-derived,shared-parent-sibling,C,SRC-DERIVED-RULES,in_progress,docs/research-program/inferences/sibling-p193-p41-siblings-shared-parent.md,2026-02-08,"Phase 2 rule-derived dossier hardening: pair-specific support chain, supporting claim IDs, and explicit rule verification criteria added."
