claim_id,edge_key,relation_type,source_id,target_id,label,confidence,claim_type,confidence_grade,evidence_refs,primary_source_id,claim_excerpt,citation_locator,access_date,review_status,canonical_decision,reviewer,last_reviewed,notes
CLM-0069,kin|P131|P81|grandparent,kin,P131,P81,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P131 Mohamed Didi and P81 Mohamed Ghiyathuddine (Kula Rannmani Keerithi) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p131-p81-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p131-p81-grandparent.md.
CLM-0071,kin|P132|P182|reported Addu/Meedhoo branch continuity,kin,P132,P182,reported Addu/Meedhoo branch continuity,i,inferred,C,SRC-MRF-MIDU-ROYAL|SRC-WIKI-ABDUL-GAYOOM-IBRAHIM,SRC-MRF-MIDU-ROYAL,Midu Royal Family Branch (Addu/Meedhoo records) dynastic context links P132 Al-Naib Muhammad Thakurufaanu of Addu and P182 El-Naib Ganduvaru Mohamed Thakurufan in kin relation (reported Addu/Meedhoo branch continuity).,"SRC-MRF-MIDU-ROYAL r.jina mirror (https://r.jina.ai/http://maldivesroyalfamily.com/maldives_midu.shtml), dynasty/lineage entry context for P132 Al-Naib Muhammad Thakurufaanu of Addu and P182 El-Naib Ganduvaru Mohamed Thakurufan (kin (reported Addu/Meedhoo branch continuity)) in 2026-02-08 snapshot.",2026-02-08,in_progress,pending,phase1-locator-d,2026-02-08,Node-specific locator captured in Phase 1 batch D; promote with quote-level excerpt when deep-source extraction is complete.
CLM-0073,kin|P137|P139|grandparent,kin,P137,P139,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P137 Moosa Didi and P139 Hussain Didi from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p137-p139-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p137-p139-grandparent.md.
CLM-0074,kin|P138|P140|grandparent,kin,P138,P140,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P138 Dhadimagu Ganduvaru Maryam Didi and P140 Al-Nabeel Karayye Hassan Didi from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p138-p140-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p138-p140-grandparent.md.
CLM-0075,kin|P139|P180|aunt/uncle↔niece/nephew,kin,P139,P180,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P139 Hussain Didi and P180 Princess Aishath Didi from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p139-p180-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p139-p180-aunt-uncle-niece-nephew.md.
CLM-0079,kin|P14|P7|grandparent,kin,P14,P7,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P14 Hali (Areedha Suvara) and P7 Wadi (Dhagathaa Suvara) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p14-p7-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p14-p7-grandparent.md.
CLM-0081,kin|P140|P81|grandparent,kin,P140,P81,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P140 Al-Nabeel Karayye Hassan Didi and P81 Mohamed Ghiyathuddine (Kula Rannmani Keerithi) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p140-p81-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p140-p81-grandparent.md.
CLM-0086,kin|P15|P7|grandparent,kin,P15,P7,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P15 Yoosuf (Bavanaadheeththa) and P7 Wadi (Dhagathaa Suvara) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p15-p7-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p15-p7-grandparent.md.
CLM-0087,kin|P150|P198|aunt/uncle↔niece/nephew,kin,P150,P198,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P150 Dunya Maumoon and P198 Ilyas Ibrahim from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p150-p198-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p150-p198-aunt-uncle-niece-nephew.md.
CLM-0088,kin|P150|P199|aunt/uncle↔niece/nephew,kin,P150,P199,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P150 Dunya Maumoon and P199 Abbas Ibrahim from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p150-p199-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p150-p199-aunt-uncle-niece-nephew.md.
CLM-0089,kin|P151|P198|aunt/uncle↔niece/nephew,kin,P151,P198,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P151 Yumna Maumoon and P198 Ilyas Ibrahim from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p151-p198-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p151-p198-aunt-uncle-niece-nephew.md.
CLM-0090,kin|P151|P199|aunt/uncle↔niece/nephew,kin,P151,P199,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P151 Yumna Maumoon and P199 Abbas Ibrahim from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p151-p199-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p151-p199-aunt-uncle-niece-nephew.md.
CLM-0091,kin|P152|P198|aunt/uncle↔niece/nephew,kin,P152,P198,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P152 Faris Maumoon and P198 Ilyas Ibrahim from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p152-p198-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p152-p198-aunt-uncle-niece-nephew.md.
CLM-0092,kin|P152|P199|aunt/uncle↔niece/nephew,kin,P152,P199,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P152 Faris Maumoon and P199 Abbas Ibrahim from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p152-p199-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p152-p199-aunt-uncle-niece-nephew.md.
CLM-0093,kin|P153|P198|aunt/uncle↔niece/nephew,kin,P153,P198,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P153 Ghassan Maumoon and P198 Ilyas Ibrahim from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p153-p198-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p153-p198-aunt-uncle-niece-nephew.md.
CLM-0094,kin|P153|P199|aunt/uncle↔niece/nephew,kin,P153,P199,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P153 Ghassan Maumoon and P199 Abbas Ibrahim from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p153-p199-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p153-p199-aunt-uncle-niece-nephew.md.
CLM-0096,kin|P155|P85|grandparent,kin,P155,P85,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P155 Maandhoogey Bodu Dhorhy Manippulu and P85 Mohamed Mueenuddine (Keerithi Maha Radun) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p155-p85-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p155-p85-grandparent.md.
CLM-0102,kin|P16|P19|aunt/uncle↔niece/nephew,kin,P16,P19,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P16 Salis (Meesuvvara) and P19 Ahmed Shihabuddine (Loka Aadheeththa) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p16-p19-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p16-p19-aunt-uncle-niece-nephew.md.
CLM-0103,kin|P16|P20|aunt/uncle↔niece/nephew,kin,P16,P20,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P16 Salis (Meesuvvara) and P20 Khadijah (Raadha Abarana) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p16-p20-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p16-p20-aunt-uncle-niece-nephew.md.
CLM-0104,kin|P16|P25|aunt/uncle↔niece/nephew,kin,P16,P25,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P16 Salis (Meesuvvara) and P25 Raadhaafathi (Suvama Abarana) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p16-p25-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p16-p25-aunt-uncle-niece-nephew.md.
CLM-0105,kin|P169|P171|grandparent,kin,P169,P171,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P169 Sarah Ibrahim Solih and P171 Moomina Hassanfulhu from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p169-p171-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p169-p171-grandparent.md.
CLM-0106,kin|P170|P171|grandparent,kin,P170,P171,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P170 Yaman Ibrahim Solih and P171 Moomina Hassanfulhu from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p170-p171-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p170-p171-grandparent.md.
CLM-0116,kin|P180|P81|grandparent,kin,P180,P81,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P180 Princess Aishath Didi and P81 Mohamed Ghiyathuddine (Kula Rannmani Keerithi) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p180-p81-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p180-p81-grandparent.md.
CLM-0122,kin|P190|P87|grandparent,kin,P190,P87,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P190 Hassan Fareed Didi and P87 Ibrahim Nooredine (Keerithi Maha Radun) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p190-p87-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p190-p87-grandparent.md.
CLM-0123,kin|P190|P90|aunt/uncle↔niece/nephew,kin,P190,P90,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P190 Hassan Fareed Didi and P90 Mohamed Imaduddine V (Keerithi Maha Radun) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p190-p90-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p190-p90-aunt-uncle-niece-nephew.md.
CLM-0124,kin|P190|P91|aunt/uncle↔niece/nephew,kin,P190,P91,aunt/uncle↔niece/nephew,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (aunt/uncle↔niece/nephew) between P190 Hassan Fareed Didi and P91 Mohamed Shamsuddine III (Kula Sundhura Katthiri) from modeled rule chain parent-sibling-aunt-uncle.,Inference basis: parent-sibling-aunt-uncle (see docs/research-program/inferences/kin-p190-p91-aunt-uncle-niece-nephew.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p190-p91-aunt-uncle-niece-nephew.md.
CLM-0125,kin|P191|P87|grandparent,kin,P191,P87,grandparent,i,inferred,C,SRC-DERIVED-RULES,SRC-DERIVED-RULES,Inferred kin relation (grandparent) between P191 Ibrahim Fareed Didi and P87 Ibrahim Nooredine (Keerithi Maha Radun) from modeled rule chain parent-of-parent-grandparent.,Inference basis: parent-of-parent-grandparent (see docs/research-program/inferences/kin-p191-p87-grandparent.md).,2026-02-08,in_progress,pending,phase1-batch-sweep,2026-02-08,Inference claim prepared for verification; pair dossier: docs/research-program/inferences/kin-p191-p87-grandparent.md.
